COMMAND     PID  USER   FD      TYPE             DEVICE SIZE/OFF    NODE NAME
mate-sess 17532 sedna   19u     unix 0x0000000000000000      0t0   41548 @/tmp/.ICE-unix/17532
mate-sess 17532 sedna   20u     unix 0x0000000000000000      0t0   42218 @/tmp/.ICE-unix/17532
mate-sess 17532 sedna   21u     unix 0x0000000000000000      0t0   43155 @/tmp/.ICE-unix/17532
ssh-agent 17669 sedna  cwd   unknown                                     /proc/17669/cwd (readlink: Permission denied)
ssh-agent 17669 sedna  rtd   unknown                                     /proc/17669/root (readlink: Permission denied)
ssh-agent 17669 sedna  txt   unknown                                     /proc/17669/exe (readlink: Permission denied)
ssh-agent 17669 sedna NOFD                                               /proc/17669/fd (opendir: Permission denied)
dbus-laun 17672 sedna  cwd       DIR                8,1     4096       2 /
dbus-laun 17672 sedna  rtd       DIR                8,1     4096       2 /
dbus-laun 17672 sedna  txt       REG                8,1    27296  916340 /usr/bin/dbus-launch
dbus-laun 17672 sedna  mem       REG                8,1    47712  524682 /lib/x86_64-linux-gnu/libnss_files-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1    47760  524692 /lib/x86_64-linux-gnu/libnss_nis-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1    97296  524676 /lib/x86_64-linux-gnu/libnsl-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1    39824  524678 /lib/x86_64-linux-gnu/libnss_compat-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1    22616  139887 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
dbus-laun 17672 sedna  mem       REG                8,1    14456  139868 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
dbus-laun 17672 sedna  mem       REG                8,1    14664  524615 /lib/x86_64-linux-gnu/libdl-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1   125392  141636 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
dbus-laun 17672 sedna  mem       REG                8,1  1840928  524598 /lib/x86_64-linux-gnu/libc-2.19.so
dbus-laun 17672 sedna  mem       REG                8,1  1265072  139862 /usr/lib/x86_64-linux-gnu/libX11.so.6.3.0
dbus-laun 17672 sedna  mem       REG                8,1   149120  524572 /lib/x86_64-linux-gnu/ld-2.19.so
dbus-laun 17672 sedna    0r      CHR                1,3      0t0    6447 /dev/null
dbus-laun 17672 sedna    1u      CHR                1,3      0t0    6447 /dev/null
dbus-laun 17672 sedna    2u      CHR                1,3      0t0    6447 /dev/null
dbus-laun 17672 sedna    3u     unix 0x0000000000000000      0t0   40103 socket
dbus-laun 17672 sedna    4u     unix 0x0000000000000000      0t0   40122 socket
dbus-laun 17672 sedna    8r     FIFO                0,8      0t0   40109 pipe
dbus-daem 17673 sedna  cwd       DIR                8,1     4096       2 /
dbus-daem 17673 sedna  rtd       DIR                8,1     4096       2 /
dbus-daem 17673 sedna  txt       REG                8,1   434032  261660 /bin/dbus-daemon
dbus-daem 17673 sedna  mem       REG                8,1    47712  524682 /lib/x86_64-linux-gnu/libnss_files-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    47760  524692 /lib/x86_64-linux-gnu/libnss_nis-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    97296  524676 /lib/x86_64-linux-gnu/libnsl-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    39824  524678 /lib/x86_64-linux-gnu/libnss_compat-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    14664  524615 /lib/x86_64-linux-gnu/libdl-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1   252032  524714 /lib/x86_64-linux-gnu/libpcre.so.3.13.1
dbus-daem 17673 sedna  mem       REG                8,1   281552  524612 /lib/x86_64-linux-gnu/libdbus-1.so.3.7.6
dbus-daem 17673 sedna  mem       REG                8,1    38920  524669 /lib/x86_64-linux-gnu/libnih-dbus.so.1.0.0
dbus-daem 17673 sedna  mem       REG                8,1    96280  524671 /lib/x86_64-linux-gnu/libnih.so.1.0.0
dbus-daem 17673 sedna  mem       REG                8,1   108480  524603 /lib/x86_64-linux-gnu/libcgmanager.so.0.0.0
dbus-daem 17673 sedna  mem       REG                8,1  1840928  524598 /lib/x86_64-linux-gnu/libc-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    31792  524739 /lib/x86_64-linux-gnu/librt-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1   141574  524731 /lib/x86_64-linux-gnu/libpthread-2.19.so
dbus-daem 17673 sedna  mem       REG                8,1    47984  139964 /usr/lib/x86_64-linux-gnu/libapparmor.so.1.1.0
dbus-daem 17673 sedna  mem       REG                8,1   134296  524741 /lib/x86_64-linux-gnu/libselinux.so.1
dbus-daem 17673 sedna  mem       REG                8,1   170064  524620 /lib/x86_64-linux-gnu/libexpat.so.1.6.0
dbus-daem 17673 sedna  mem       REG                8,1    55384  524753 /lib/x86_64-linux-gnu/libsystemd-login.so.0.7.1
